word,meaning,repetition
occur,일어나다,20
await,기다리다,20
control,억제하다,19
elephant,코끼리,19
ultimate,최후의,18
old,늙은,17
illusion,환영,17
contact,접촉,17
method,방법,16
one,하나(의),16
educate,교육하다,15
element,요소,14
up,위로,14
neighbor,이웃사람(나라),13
illustrate,설명하다,13
ridiculous,어리석은,12
effort,노력,11
chorus,합창,11
intense,강렬한,11
circumstance,환경,10
grateful,고맙게 생각하는,10
stuff,재료,10
great,커다란,10
grace,은총,10
mother,어머니,10
wreck,난파,10
yes,예,10
absurd,불합리한,10
power,힘,10
pepper,고추,10
cluster,떼,10
permanent,영구의,10
perceive,지각하다,10
acid,산 신,10
grow,성장하다,10
gear,톱니바퀴,10
clock,시계,10
about,-에 대하여,10
jury,배심,10
world,세계,10
succeed,성공하다,10
plain,분명한,10
woman,부인,10
witness,증언,10
glare,번쩍이는 빛,10
with,함께,10
collect,모으다,10
portrait,초상,10
save,위험에서 구하다,10
harvest,수확,10
fund,기금,10
pause,중지,10
pick,따다,10
college,단과대학,10
adverse,거꾸로의,10
around,사방에,10
swallow,삼키다,10
peak,(뾰족한)끝,10
adult,성인,10
wicked,사악한,10
isolate,고립시키다,10
happen,(사건 등이)일어나다,10
chase,쫓다,10
flow,흐르다,10
administer,관리하다,10
stretch,뻗치다,10
weekend,주말 주말의 주말을 지내다,10
nation,국가,10
forehead,이마,10
print,"인쇄하다, 프린트하다",10
commit,위탁하다,10
get,얻다,10
while,동안 -하는 동안,10
marvel,경이,10
formal,형식상의,10
wheel,바퀴,10
forth,앞으로,10
irritate,노하게 하다,10
survey,둘러보다,10
knife,나이프,10
chef,쿡,10
flip,튀기다 홱 움직이다 튀기기,10
experience,경험,10
target,과녁,10
proof,증명,10
cart,(2륜)짐마차,10
fierce,흉포한,10
stop,멈추다,10
flee,달아나다,10
puppy,강아지,10
sustain,떠받치다,10
irony,반어,10
much,많은,10
apple,사과,10
price,"값, 가격, 대가, 정가",10
flat,편평한,10
fortune,운,10
particle,입자,10
past,과거,10
swift,빠른,10
switch,회초리,10
quarter,1,10
moon,달,10
float,뜨다,10
finish,끝내다,10
auction,경매,10
cause,원인,10
various,가지가지의,10
label,라벨,10
call,부르다,10
usual,평소의,10
fool,바보,10
polish,"닦다, 갈다, 윤내다",10
spread,펴다,10
fear,두려움,10
complicate,복잡하게 하다,10
recognize,인정하다,10
marry,결혼하다,10
protect,"보호하다, 막다, 지키다, 비호하다",10
flexible,구부리기 쉬운,10
censor,검열관,10
pursue,"쫓다, 추적하다, 몰다",10
amplify,확대하다,10
commodity,상품,10
situation,장소,10
condemn,나무라다,10
regulate,규정하다,10
waste,낭비하다,10
century,1세기,10
substance,물질,10
labor,노동,10
reveal,나타내다,10
proper,"고유의, 독특한, 본연의,  특유한",10
promote,"승진시키다 진행시키다,",10
angle,각,10
hill,"언덕, 낮은 산 인도 고지",10
angel,천사,10
female,여성,10
cathedral,대성당,10
recruit,신병,10
outline,윤곽,10
bulk,부피,10
cater,음식물을 마련하다,10
eyebrow,눈썹,10
concentrate,집중하다,10
virtue,"덕, 덕행, 선, 선행",10
casual,우연한,10
preach,설교하다,10
fame,명성,10
concern,관계하다,10
palm,손바닥,10
retail,소매,10
fascinate,황홀케 하다,10
excite,흥분시키다,10
oppose,반대하다,10
stage,무대,10
hurry,서두르다,10
memory,기억,10
entitle,자격을 주다,10
reserve,따로 두다,10
attain,이르다,10
temperature,온도,10
equate,같게하다,10
alone,다만 홀로(혼자서),10
similar,유사한,10
arrive,도착하다,10
substitute,대용하다 대신하다 대리(인),10
complement,보완하는 것,10
disturb,교란하다,10
prefer,"오히려 …을 좋아하다,",10
crew,승무원,10
button,단추 단추를 채우다 단추로 채워지다,10
boat,배,10
cry,소리치다,10
obvious,명백한,10
busy,바쁜,10
tea,차,10
barrier,장벽,10
confuse,혼란시키다,10
vast,"광대한, 광막한 막대한",10
intermediate,중간의 중간물,10
cap,모자,10
reply,대답하다,10
space,공간,10
tradition,전설,10
negotiate,교섭하다,10
caption,표제,10
refer,조회시키다,10
rude,버릇없는,10
convince,확신시키다,10
draft,초고,10
but,그러나 다만 (-을)제외하고,10
rough,거친,10
skin,피부,10
though,-임에도 불구하고 그러나,10
leaf,잎,10
without,prop.-없이 밖은,10
complete,완성하다,10
scarce,부족한,10
soon,얼마 안 가서,10
myth,신화,10
pure,"순수한  깨끗한, 순전한, 결백한",10
lawn,잔디밭,10
criticize,비평하다,10
smell,냄새,10
shy,수줍은,10
behalf,위함,10
brother,형제,10
incline,기울이다,10
discount,할인,10
correct,옳은,10
international,국제적인,10
shoot,쏘다,10
leave,남기고가다,10
trick,책략,10
mode,방법,10
aspire,열망하다,10
devil,악마,10
sentence,문장,10
big,큰,10
several,수개의,10
cousin,사촌,10
design,디자인,10
athlete,운동가,10
abandon,버리다,10
verse,"시의 한 줄, 시구  일련의 시구",10
mission,사명,10
sand,모래사장,10
document,서류,10
rid,면하게하다,10
literature,문학,10
rule,규칙,10
exam,시험,10
confront,직면하다,10
excellent,우수한,10
resort,(자주)가다,10
bath,목욕,10
revenge,복수,10
rot,썩다,10
deposit,예금,10
bottle,병,10
bottom,밑바닥,10
damage,손해,10
carrot,당근,10
till,-까지,10
single,단 하나의,10
tidy,말쑥한,10
craft,솜씨,10
simultaneous,동시에 일어나는(존재하는),10
slice,얇은조각,10
shift,옮기다,10
database,데이터베이스,10
book,책,10
depend,좌우되다,10
dare,au감히 -하다,10
sad,슬픈,10
purchase,"사다, 구입하다",10
shadow,그림자,10
sentiment,정서,10
potato,감자,10
cinema,영화관,10
disgust,불쾌하게 하다,10
moreover,그 위에,10
tense,시제,10
skip,도약,10
text,원문,10
hammer,망치,10
territory,영토,10
district,지구,10
dance,댄스,10
resolve,분해하다,10
dash,돌진,10
must,-해야 한다,10
measure,재다,10
push,"밀다, 밀치다, 밀어서 움직 이다, 밀어 내다",10
follow,쫓다,10
turn,돌리다,10
day,낮,10
dish,접시,10
holy,신성한,10
ask,묻다,10
hardly,거의 -아니다,10
roar,으르렁거리다 으르렁소리,10
nanny,유모,10
arise,생기다,10
motive,동기,10
commerce,상업,10
compromise,타협 타협하다,10
submarine,잠수함,10
shine,빛나다,10
worry,근심하다,10
young,젊은,10
bug,벌레,10
murder,살인,10
spend,소비하다,10
fare,요금,10
crawl,네발로 기다,10
treaty,조약,10
tree,나무,10
cough,기침 기침을 하다 기침을 하여 -을 뱉어내다,10
tale,이야기,10
else,그 밖에,9
urge,몰아대다,9
enclose,에워싸다,9
tag,손잡이가죽,9
vague,막연한,9
lane,좁은길,9
water,물,9
far,멀리,9
identical,아주 동일한,9
than,-보다도,9
answer,대답,9
wash,씻다,9
wage,임금,9
care,걱정,9
buzz,윙윙거리는 소리,9
artificial,인공의,9
thick,두꺼운,9
brief,단시간의,9
roll,구르다,9
bridge,다리,9
include,포함하다,9
laboratory,실험실,9
romantic,전기소설적인,9
ladder,사닥다리,9
extinct,꺼진,9
vary,바꾸다,9
surrender,넘겨주다,9
affect,영향을 주다,9
admit,받아들이다,9
cabin,선실,9
legal,법률상의,9
analyze,분해하다,9
want,결핍,9
dynamic,동적인,9
animal,동물,9
anger,성,9
war,전쟁,9
wander,헤매다,9
art,예술,9
area,면적,9
empire,제국,9
route,길,9
atom,원자,9
equal,같은,9
vice,"악덕,  비행, 타락 행위",9
warehouse,창고,9
system,조직,9
wet,축축한,9
category,범주,9
mature,익은,9
week,주,9
check,방해,9
chain,사슬,9
trust,신용,9
you,당신,9
zebra,얼룩말,9
support,지탱하다,9
restroom,화장실,9
try,시험해보다,9
resist,저항하다,9
row,줄,9
off,떨어져,9
live,살다,9
countryside,시골,9
guide,이끌다,9
low,낮은,9
accommodate,수용하다,9
aisle,측면복도,9
revolution,혁명,9
amount,(금액이)-이 되다,9
wall,벽,9
telephone,전화,9
lone,혼자의,9
army,육군,9
safe,안전한,9
ideal,이상,9
endure,견디다,9
alert,빈틈없는,9
which,어느 쪽,9
win,이기다,9
cheek,볼,9
aircraft,항공기,9
whether,-인지 어떤지,9
love,사랑,9
child,아이,9
map,지도,9
change,변화,9
real,실재하는,9
lecture,강의,9
crucial,결정적인,9
hope,희망,9
believe,믿다,9
blind,눈먼,9
who,누구,9
beard,턱수염,9
behave,행동하다,9
abroad,외국으로,9
trend,방향,9
beg,청하다,9
lawyer,법률가,9
blonde,(살결이 흰)금발의 여성,9
betray,배반하다,9
title,표제,9
modern,현대의,9
legend,전설,9
quite,아주,9
baby,"갓난아이, 막내   관심사, 골치아픈 일,",9
hot,뜨거운,9
experiment,실험,9
hostile,반대하는,9
update,새롭게 하다 최신정보,9
blast,돌풍,9
transact,처리하다,9
time,때,9
transmit,보내다,9
bit,bite의 과거(분사) 작은 조각,9
year,연,9
mistake,틀리다,9
kind,친절한,9
avenue,가로수길,9
latter,뒤쪽의,9
timber,재목,9
loud,시끄러운,9
moisture,습기,9
keep,계속하다,9
bang,강타,9
adolescent,청년기의,9
maintain,계속하다,9
let,시키다,9
lesson,학과,9
baseball,야구,9
bury,묻다,9
horror,공포,9
reception,받음,9
night,밤,9
outcome,결과,9
break,부수다,9
universe,우주,9
last,계속하다,9
avoid,피하다,9
hut,오두막,9
guardian,보호자,9
oral,구두의,9
remain,남다,9
react,반응을 나타내다,9
feature,얼굴의 생김새,9
